id,name,test_type,test_type_codes,keys,duration_minutes,languages,job_levels,remote,adaptive,description,url
1,Basic Computer Literacy (Windows 10) (New),S,S;K,Simulations;Knowledge & Skills,30,English (USA),Entry-Level,True,False,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/
2,Count Out The Money,K,K;S,Knowledge & Skills;Simulations,5,English (USA);English (Australia);English (Canada);English International;English (South Africa),Entry-Level,True,True,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,https://www.shl.com/products/product-catalog/view/count-out-the-money/
3,Microsoft Dynamics Development (New),K,K,Knowledge & Skills,9,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins.",https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/
4,Microsoft Excel 365 - Essentials (New),K,K;S,Knowledge & Skills;Simulations,30,English (USA),Entry-Level,True,False,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/
5,"Microsoft 
    365 (New)",K,K;S,Knowledge & Skills;Simulations,35,English (USA),Entry-Level,True,False,"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/
6,Microsoft PowerPoint 365 - Essentials (New),K,K;S,Knowledge & Skills;Simulations,25,English (USA),Entry-Level,True,False,"The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations.",https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/
7,Microsoft Word 365 - Essentials (New),K,K;S,Knowledge & Skills;Simulations,25,English (USA),Entry-Level,True,False,"The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.",https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/
8,Microsoft Word 365 (New),S,S;K,Simulations;Knowledge & Skills,35,English (USA),Entry-Level,True,False,"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.",https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/
9,Multitasking Ability,A,A;K;S,Ability & Aptitude;Knowledge & Skills;Simulations,20,English (USA),Director;Entry-Level;Executive;Front Line Manager;Manager;Mid-Professional;Professional Individual Contributor,True,False,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.",https://www.shl.com/products/product-catalog/view/multitasking-ability/
10,SAP HCM (Human Capital Management) (New),K,K,Knowledge & Skills,,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of SAP HR/ HCM structure, personnel administration, SAP HCM tasks, SAP HCM SuccessFactors solutions.",https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/
